,0
157,18836.4123
158,2260.55287
159,493.1942
160,362.79627
161,20484.98732
162,29674.37576
163,694.55861
164,6544.38162
165,23587.12138
166,2537.34967
167,1245.73961
168,911.28823
169,357.16515
170,990.03333
171,4883.15955
172,668.37665
173,2965.35474
174,9612.028
175,741.69147
176,3755.87461
177,369.46115
178,10534.59435
179,12168.52615
180,1742.56985
181,1786.50365
182,14999.48722
183,3996.75218
184,1830.84041
185,1400.19492
186,3231.9437
187,908.57427
188,4411.83222
189,14877.29502
190,535.79059
191,4919.11416
192,655.50715
193,1122.35223
194,477.33233
195,732.21169
196,1098.50008
197,15079.32564
198,1995.59073
199,14343.63173
200,1360.51244
201,161.85975
202,2369.41655
203,165.78851
204,3354.07321
205,40084.9264
206,36921.05427
207,362.47158
208,4898.57403
209,19847.18759
210,26130.12201
211,1502.03677
212,1613.78594
213,6381.81948
214,37901.94018
215,984.75261
216,1591.11264
217,2490.16745
218,6596.50663
219,3307.08729
220,4929.08637
221,7074.15324
222,2043.78205
223,1274.39134
224,930.02507
225,12486.33751
226,14609.28571
227,240.6501
228,1794.34427
229,321.25861
230,1143.72401
231,7018.18071
232,13118.22571
233,2951.08143
234,4485.32295
235,2861.55342
236,449.34363
237,2818.35694
238,904.3231
239,156.72825
240,2514.62574
241,6731.01648
242,1364.88878
243,1352.2115
244,2113.20387
245,12614.2949
246,437.94724
247,435.43675
248,6545.99495
249,208.07397
250,2218.06955
251,7786.47639
252,63.35956
253,18320.91174
254,11859.53313
255,7914.4904
256,978.38814
257,2781.43517
258,2706.30427
259,542.76758
260,909.80162
261,1723.47842
262,516.21179
263,202.76022
264,9336.64835
265,13245.9814
266,1231.53892
267,421.21017
268,18537.41788
269,8986.72803
270,13590.70952
271,206.23202
272,2176.15884
273,2162.29608
274,616.95962
275,14765.30363
276,717.23132
277,805.66746
278,1805.95512
279,8949.00184
280,2361.67799
281,1929.76357
282,10086.26321
283,1220.96256
284,801.29798
285,12781.17322
286,3690.57342
287,19950.98894
288,54333.40102
289,11063.50816
290,2034.76546
291,3506.56249
292,422.43309
293,2051.18825
294,14044.63731
295,1305.34347
296,13522.21154
297,1002.27041
298,7660.30587
299,4106.33242
300,6474.34163
301,767.46174
302,5499.79411
303,613.19871
304,1210.46507
305,233.04907
306,8761.00639
307,2468.40127
308,8271.0169
309,3344.10811
310,173.64534
311,2732.39039
312,2960.35149
313,5157.88015
314,217.89191
315,136.66215
316,2072.9878
317,32916.20826
318,860.79467
319,4489.39752
320,3920.58942
321,781.22178
322,725.2364
323,378.0917
324,19707.36772
325,3705.9303
326,1332.63665
327,23184.34322
328,9326.00849
329,220.32805
330,1301.44309
331,186.46547
332,964.94816
333,5176.99459
334,345.19612
335,575.80428
336,20507.3112
337,8843.95353
338,11737.65955
339,9541.8402
340,145.89778
341,455.53315
342,2266.66184
343,513.11827
344,11081.25739
345,18164.46067
346,322.28014
347,2976.53677
348,3377.15399
349,506.46958
350,2666.09966
351,1723.14257
352,6260.2718
353,5997.09583
354,13812.37389
355,917.88061
356,373.80528
357,2384.44356
358,15090.2403
359,1479.35064
360,5402.06345
361,1773.11676
362,4491.85292
363,7224.12731
364,1691.22685
365,750.4543
366,187.39418
367,1032.15819
368,942.50352
369,923.29224
370,3350.68874
371,513.59596
372,618.15434
373,51959.14578
374,31614.82661
375,488.35429
376,12499.12129
377,612.07337
378,9218.35634
379,990.20509
380,2017.36858
381,18981.94962
382,477.227
383,1161.28555
384,9875.88936
385,683.52848
386,762.50497
387,1589.93212
388,26992.48961
389,3221.56849
390,4578.86186
391,8596.24466
392,2373.38198
393,1030.9514
394,736.82752
395,22051.6943
396,6459.29256
397,1470.36742
398,224.49382
399,2024.15117
400,19104.93536
401,12973.22877
402,9231.99484
403,5438.72372
404,997.35468
405,3040.64993
406,43772.46653
407,500.02095
408,1712.23897
409,494.32915
410,6861.74545
411,566.58882
412,25641.82302
413,6422.36746
414,4138.707
415,18649.96596
416,4296.45989
417,1145.95012
418,12146.51457
419,5558.68101
420,16540.99572
421,4296.77124
422,590.57498
423,1307.45343
424,30398.45459
425,6461.55886
426,906.72366
427,545.17691
428,512.73925
429,3303.68856
430,9012.62187
431,577.40916
432,2871.8316
433,2563.70514
434,9302.83958
435,1679.29034
436,8672.17899
437,5974.07113
438,9534.96483
439,598.45883
440,712.18989
441,367.14567
442,16467.78648
443,12600.05133
444,10464.45801
445,800.69072
446,27477.04905
447,7475.23827
448,7472.01342
449,932.45597
450,7633.94176
451,2361.78042
452,503.19073
453,2548.11629
454,52415.24575
455,7344.58924
456,15586.29259
457,910.28722
458,826.00903
459,3004.14394
460,17574.07883
461,17907.79941
462,8678.46082
463,2631.71715
464,1850.38247
465,2005.44744
466,3405.50297
467,4029.59211
468,1260.07846
469,4279.14452
470,5553.82193
471,4253.42365
472,18256.65479
473,748.27478
474,367.33962
475,12904.30035
476,9689.2459
477,8842.59419
478,41914.10813
479,893.09507
480,17373.82104
481,1225.22897
482,774.22788
483,1615.8639
484,6829.08107
485,8412.46328
486,6076.07963
487,8147.41879
488,557.94492
489,81494.27312
490,40071.19714
491,4907.93874
492,5615.29378
493,977.15731
494,2656.68175
495,4552.79638
496,6049.47295
497,990.15943
498,1307.73985
499,1251.06406
500,1241.40927
501,5391.14915
502,11142.40527
503,7271.42006
504,50703.51535
505,5081.88282
506,370.14592
507,2163.99424
508,796.52706
509,1719.02685
510,3517.82656
511,11806.64183
512,2827.53448
513,33021.2556
514,309.43851
515,1495.59329
516,8187.68786
517,14707.55734
518,2104.61571
519,2967.87257
520,1187.12255
521,1364.99819
522,654.41337
523,7914.62509
524,1268.25585
525,1943.46766
526,1526.21907
527,12896.52425
528,943.07699
529,24008.17637
530,10039.38425
531,371.21182
532,1871.27717
533,4222.69862
534,883.32447
535,2259.18322
536,2930.48947
537,1100.31436
538,5147.15401
539,9150.33485
540,1683.25917
541,448.92053
542,1712.73723
543,153.77563
544,5715.86844
545,447.73225
546,7706.76811
547,456.6456
548,4062.3718
549,1576.47695
550,1091.02366
551,12500.46626
552,1438.19285
553,1099.52274
554,6997.87872
555,1117.0683
556,1439.38081
557,11394.80521
558,6846.85954
559,2496.05134
560,436.34679
561,18081.18726
562,17992.94107
563,949.02939
564,3946.12125
565,7770.02371
566,902.229
567,5371.10248
568,9871.86731
569,396.16715
570,2025.17041
571,2128.58806
572,242.40124
573,5118.62899
574,1343.54663
575,217.49167
576,1171.52568
577,1227.80784
578,439.52582
579,13763.15903
580,1853.754
581,5460.46747
582,462.40941
583,15384.56254
584,2903.19735
585,16216.83816
586,1742.41488
587,2073.84264
588,5210.32513
589,1904.86757
590,1314.07573
591,156.12978
592,488.84972
593,488.85267
594,7522.01492
595,11890.17263
596,1706.61022
597,2203.80793
598,2014.60064
599,885.20848
600,428.86033
601,12838.90949
602,603.42453
603,2472.82829
604,19333.99669
605,9081.9876
606,455.74526
607,944.55938
608,576.97854
609,10272.79707
610,15873.93316
611,3264.19297
612,25933.70776
613,1190.77837
614,226.89563
615,2534.60008
616,9749.58778
617,37713.93483
618,950.97836
619,5823.81764
620,13786.99517
621,906.53552
622,519.25555
623,2381.6217
624,1036.61642
625,3059.59632
626,1517.54596
627,1230.47927
628,348.61514
629,842.11362
630,3996.35067
631,2193.32424
632,1100.30107
633,8945.56844
634,7429.99239
635,438.19038
636,284.33136
637,2014.62718
638,1542.27342
639,442.34562
640,705.04102
641,5662.42425
642,9835.08376
643,2788.34249
644,9976.597
645,1662.14912
646,336.43783
647,6185.00243
648,639.79137
649,756.48346
650,8566.25963
651,47129.63403
652,5083.14399
653,1687.98226
654,154.08254
655,2182.45066
656,5547.66651
657,9608.70946
658,1144.81013
659,648.94151
660,1299.95
661,7597.13432
662,10167.92161
663,10661.2164
664,1268.26629
665,1793.01691
666,1393.90746
667,56376.93923
668,1423.14693
669,5294.02656
670,783.13218
671,708.82257
672,1005.2052
673,3384.53163
674,603.1599
675,2804.31082
676,12535.29381
677,17769.24908
678,20575.30994
679,192.57061
680,12831.98993
681,601.47618
682,575.00035
683,2558.84009
684,14798.93248
685,2738.31891
686,4250.74154
687,598.63332
688,470.53732
689,445.42601
690,287.8178
691,651.4966
692,1662.68484
693,5562.39299
694,1276.61595
695,11952.21421
696,14869.14627
697,750.8936
698,5670.35972
699,151.78476
700,1876.2054
701,656.3404
702,5410.75377
703,260.83242
704,268.53836
705,11192.97225
706,753.56875
707,195.09226
708,10036.57383
709,4372.26083
710,412.7224
711,651.83861
712,4567.05017
713,393.25098
714,7412.89698
715,973.07551
716,622.16591
717,677.13181
718,903.7598
719,85.84497
720,764.99257
721,833.01829
722,209.90979
723,8488.67064
724,912.4932
725,11888.99774
726,797.05984
727,11452.57692
728,148.35716
729,6962.13122
730,2185.74918
731,15909.35332
732,7031.61683
733,13805.2783
734,740.11007
735,1021.31466
736,1203.84865
737,564.8698
